,property_type,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,price,host_response,amenities_ratio,regions
13081,5,1,4,1.0,2,1,1,0,14,99.0,1.0,2.0,70.00000000000003,1,0.24675324675324675,4
13082,6,2,5,1.0,2,1,1,0,115,98.0,1.0,3.0,149.99999999999997,1,0.3636363636363637,7
13084,6,1,2,1.0,1,1,1,0,10,91.0,1.0,1.0,59.99999999999999,1,0.35064935064935066,8
13085,6,2,4,1.0,2,1,1,1,21,97.0,2.0,3.0,99.0,1,0.3376623376623377,5
13086,6,2,6,2.5,2,1,1,0,7,100.0,2.0,2.0,190.0,1,0.2857142857142857,3
13087,6,2,4,1.0,2,1,1,0,77,93.0,1.0,2.0,224.9999999999998,1,0.2597402597402597,4
13089,5,1,2,0.5,2,0,1,0,9,89.0,1.0,1.0,50.000000000000036,0,0.03896103896103896,7
13090,6,2,2,1.0,2,1,1,1,2,100.0,1.0,1.0,119.99999999999996,1,0.2207792207792208,8
13091,6,2,2,1.0,1,1,1,0,12,93.0,1.0,1.0,149.99999999999997,1,0.16883116883116886,4
13093,5,1,2,1.0,1,1,1,0,9,98.0,1.0,1.0,38.99999999999999,1,0.2207792207792208,0
13094,6,2,2,1.0,2,1,0,0,11,100.0,1.0,1.0,88.00000000000004,0,0.2077922077922078,8
13096,6,2,6,1.0,2,1,1,0,22,89.0,1.0,3.0,104.99999999999996,1,0.2727272727272727,0
13097,6,2,2,1.0,2,1,1,0,7,91.0,1.0,1.0,184.99999999999991,1,0.2857142857142857,6
13098,6,1,2,1.0,2,0,1,0,99,97.0,1.0,1.0,100.00000000000004,1,0.24675324675324675,5
13099,6,2,2,1.0,2,1,1,0,2,90.0,1.0,1.0,275.00000000000057,1,0.2207792207792208,7
13100,6,2,2,1.0,0,1,1,0,69,97.0,0.0,1.0,79.0,1,0.2597402597402597,1
13102,6,2,6,1.0,2,1,0,0,7,100.0,2.0,3.0,268.9999999999995,1,0.1948051948051948,6
13103,6,1,3,1.0,1,1,1,1,47,94.0,1.0,3.0,50.000000000000036,1,0.2987012987012987,3
13106,6,1,2,1.0,2,1,1,0,79,96.0,1.0,1.0,79.99999999999997,1,0.3246753246753247,9
13107,5,1,2,1.0,2,1,1,1,48,98.0,1.0,1.0,48.99999999999999,1,0.2727272727272727,7
13108,6,1,2,1.0,2,1,1,0,3,100.0,1.0,3.0,64.99999999999999,1,0.23376623376623376,8
13111,5,1,2,2.5,1,1,1,0,7,91.0,1.0,1.0,72.99999999999999,1,0.2987012987012987,0
13112,6,2,2,1.0,2,1,1,0,4,100.0,0.0,1.0,199.99999999999991,0,0.2077922077922078,6
13114,6,2,5,2.0,2,1,1,1,1,100.0,2.0,2.0,179.0,0,0.3246753246753247,7
13115,6,1,2,1.0,0,1,1,0,2,100.0,1.0,1.0,56.99999999999997,1,0.24675324675324675,8
13116,6,1,2,1.0,0,0,1,0,6,100.0,1.0,1.0,92.0,1,0.15584415584415584,4
13117,6,1,2,1.0,2,1,0,1,85,98.0,1.0,1.0,74.99999999999997,1,0.2857142857142857,1
13118,6,1,2,1.0,2,1,1,0,113,94.0,1.0,1.0,61.00000000000001,1,0.35064935064935066,8
13119,6,1,2,1.0,0,1,0,0,32,98.0,1.0,1.0,95.0,1,0.23376623376623376,9
13121,2,2,6,1.5,0,1,1,0,26,97.0,2.0,3.0,189.00000000000043,1,0.3376623376623377,8
13122,6,1,1,1.0,2,1,0,0,1,100.0,1.0,1.0,83.99999999999999,0,0.2207792207792208,8
13123,6,2,1,1.0,1,1,1,0,3,93.0,1.0,1.0,64.99999999999999,1,0.24675324675324675,7
13124,5,1,2,1.0,2,1,0,1,71,93.0,1.0,1.0,71.00000000000007,1,0.2207792207792208,2
13125,6,2,2,1.0,1,1,1,0,22,95.0,0.0,2.0,139.99999999999994,0,0.2987012987012987,9
13126,6,1,1,1.0,0,0,1,0,59,94.0,1.0,1.0,59.99999999999999,1,0.1038961038961039,8
13128,5,1,2,1.0,0,0,1,0,2,90.0,1.0,1.0,249.99999999999991,1,0.1038961038961039,0
13131,6,1,1,1.0,2,1,1,0,4,90.0,1.0,1.0,39.99999999999998,1,0.24675324675324675,4
13132,4,2,1,1.0,0,0,1,1,1,100.0,1.0,2.0,100.00000000000004,1,0.2077922077922078,3
13134,6,2,2,1.0,1,1,1,1,33,97.0,0.0,1.0,144.00000000000014,1,0.3246753246753247,7
13135,5,2,2,1.0,0,1,0,0,64,99.0,1.0,2.0,144.99999999999997,1,0.2987012987012987,7
13136,6,2,2,1.0,1,1,0,0,4,100.0,0.0,1.0,179.99999999999991,1,0.16883116883116886,2
13137,3,2,4,1.0,2,1,1,0,31,95.0,1.0,1.0,169.0,0,0.24675324675324675,7
13138,6,2,4,1.0,0,1,0,0,31,99.0,2.0,2.0,101.00000000000004,1,0.3636363636363637,8
13141,6,2,4,1.0,1,1,1,0,104,96.0,1.0,2.0,100.00000000000004,1,0.18181818181818185,3
13142,6,0,2,1.0,1,1,1,0,2,100.0,1.0,1.0,62.00000000000001,1,0.2597402597402597,7
13143,6,2,6,1.0,2,1,0,0,33,100.0,1.0,2.0,125.00000000000004,1,0.1948051948051948,8
13145,6,2,4,1.0,0,1,1,0,2,100.0,1.0,3.0,92.99999999999994,1,0.3896103896103896,7
13147,5,1,3,1.0,2,1,1,0,35,100.0,1.0,1.0,39.99999999999998,1,0.2857142857142857,2
13148,6,2,2,1.0,1,0,1,0,31,99.0,1.0,1.0,125.00000000000004,1,0.3116883116883117,7
13149,2,1,2,1.5,1,0,1,1,14,90.0,1.0,1.0,70.00000000000003,1,0.2987012987012987,5
13150,6,1,2,1.0,1,1,1,0,23,93.0,1.0,1.0,79.0,1,0.23376623376623376,2
13151,5,1,2,1.0,1,0,1,0,71,93.0,1.0,1.0,36.0,1,0.24675324675324675,4
13152,6,1,2,1.5,2,1,1,1,5,88.0,1.0,1.0,59.00000000000002,1,0.15584415584415584,8
13153,6,2,3,1.0,2,1,1,0,11,93.0,0.0,1.0,175.00000000000009,1,0.15584415584415584,9
13154,5,1,2,1.0,0,0,1,0,32,100.0,1.0,1.0,76.99999999999996,1,0.2597402597402597,3
13155,6,1,2,2.0,2,1,1,0,75,92.0,2.0,1.0,79.0,1,0.2597402597402597,7
13159,0,1,2,1.0,2,1,0,0,4,95.0,1.0,1.0,55.00000000000002,0,0.1948051948051948,2
13160,6,2,3,1.0,1,1,1,0,2,100.0,1.0,2.0,129.99999999999997,0,0.15584415584415584,8
13161,6,1,1,1.0,2,0,0,0,1,100.0,1.0,1.0,50.000000000000036,1,0.16883116883116886,2
13163,5,1,6,2.0,2,1,0,0,7,97.0,2.0,3.0,285.00000000000057,0,0.24675324675324675,6
13164,6,2,2,1.0,0,1,1,1,5,100.0,1.0,1.0,100.00000000000004,1,0.16883116883116886,5
13165,6,2,2,1.0,1,1,1,0,39,96.0,1.0,1.0,139.99999999999994,1,0.4545454545454545,6
13167,6,2,3,1.0,2,1,1,0,2,90.0,1.0,2.0,108.99999999999996,1,0.18181818181818185,1
13172,6,2,4,1.0,1,1,0,0,15,92.0,0.0,2.0,99.0,1,0.3116883116883117,1
13174,2,1,3,3.0,1,1,1,0,94,95.0,1.0,2.0,28.99999999999999,1,0.3376623376623377,8
13176,4,2,3,1.0,1,1,1,0,36,97.0,1.0,1.0,199.0,1,0.35064935064935066,8
13178,5,1,2,1.0,1,1,0,0,23,97.0,1.0,1.0,81.99999999999993,1,0.2077922077922078,6
13180,6,2,5,1.0,2,1,1,1,89,92.0,1.0,3.0,199.0,0,0.37662337662337664,7
13181,6,1,1,1.0,1,1,0,0,5,96.0,1.0,1.0,85.00000000000001,0,0.1948051948051948,2
13182,6,2,4,1.0,1,1,1,0,22,96.0,2.0,2.0,300.00000000000017,0,0.07792207792207792,9
13183,6,2,2,1.0,1,1,1,1,4,95.0,1.0,1.0,104.99999999999996,1,0.2077922077922078,8
13184,1,1,3,2.5,1,1,1,1,129,99.0,1.0,1.0,133.99999999999997,1,0.24675324675324675,9
13185,6,1,2,1.0,2,1,1,0,22,99.0,1.0,1.0,70.00000000000003,1,0.24675324675324675,8
13186,6,2,2,1.0,2,0,1,0,25,99.0,1.0,2.0,85.00000000000001,1,0.11688311688311688,2
13187,6,1,2,1.0,2,1,1,1,4,95.0,1.0,1.0,125.00000000000004,1,0.2077922077922078,6
13188,6,1,2,1.0,1,0,1,0,59,90.0,1.0,2.0,100.00000000000004,1,0.2597402597402597,8
13189,5,1,2,1.0,0,0,0,1,7,100.0,1.0,1.0,100.00000000000004,1,0.2077922077922078,2
13191,6,1,2,1.0,2,1,1,1,5,100.0,1.0,1.0,99.0,1,0.37662337662337664,8
13192,5,1,2,1.5,2,1,1,1,48,99.0,1.0,1.0,70.00000000000003,1,0.3376623376623377,5
13194,6,2,2,2.0,0,1,1,0,3,100.0,1.0,2.0,110.00000000000004,1,0.18181818181818185,9
13195,6,2,4,1.0,2,1,0,0,3,100.0,2.0,2.0,199.99999999999991,1,0.5454545454545454,8
13197,6,2,4,2.0,1,1,0,1,16,95.0,2.0,2.0,149.99999999999997,1,0.24675324675324675,7
13198,6,1,2,1.5,0,1,0,0,1,100.0,1.0,1.0,198.0,1,0.3376623376623377,9
13199,3,2,1,1.0,2,1,1,0,18,97.0,1.0,1.0,59.99999999999999,1,0.2857142857142857,0
13201,6,2,3,1.0,1,1,1,0,17,95.0,1.0,2.0,264.99999999999994,1,0.1038961038961039,9
13203,6,1,2,1.0,2,1,0,0,3,100.0,1.0,1.0,64.99999999999999,1,0.1948051948051948,2
13204,6,2,4,1.0,1,1,1,0,11,91.0,1.0,1.0,125.00000000000004,0,0.2597402597402597,7
13205,6,2,4,1.0,2,1,1,0,53,93.0,1.0,2.0,149.99999999999997,1,0.23376623376623376,9
13206,6,1,2,1.0,0,1,1,1,41,96.0,1.0,1.0,55.00000000000002,1,0.3376623376623377,3
13207,6,2,2,1.0,2,1,0,0,4,93.0,1.0,1.0,163.0,1,0.23376623376623376,9
13208,6,2,2,1.0,1,1,0,0,28,99.0,1.0,1.0,89.99999999999967,1,0.1948051948051948,7
13209,5,1,3,1.0,2,1,0,0,14,99.0,1.0,2.0,46.99999999999995,1,0.2727272727272727,8
13210,6,2,5,1.0,2,1,1,0,30,91.0,2.0,3.0,400.00000000000017,0,0.16883116883116886,9
13211,6,2,2,1.0,1,1,1,1,16,99.0,2.0,1.0,149.99999999999997,0,0.15584415584415584,8
13213,6,2,6,1.0,1,0,1,0,25,99.0,2.0,2.0,275.00000000000057,1,0.37662337662337664,4
13214,6,2,4,1.0,2,1,1,0,52,94.0,1.0,2.0,175.00000000000009,1,0.2077922077922078,9
13215,6,1,1,1.0,1,1,1,0,9,100.0,1.0,1.0,62.00000000000001,1,0.3116883116883117,2
13216,6,1,3,1.0,1,0,1,0,7,100.0,1.0,1.0,100.00000000000004,1,0.16883116883116886,9
13217,4,0,2,1.0,1,1,1,0,17,99.0,1.0,1.0,64.99999999999999,1,0.24675324675324675,6
13218,6,2,2,1.0,1,0,1,1,58,98.0,0.0,1.0,95.0,1,0.4025974025974026,9
13220,6,1,2,1.0,1,1,1,0,36,95.0,1.0,1.0,45.00000000000002,1,0.18181818181818185,2
13221,6,2,2,1.0,1,1,1,0,7,97.0,1.0,1.0,74.99999999999997,1,0.15584415584415584,7
13223,6,1,1,1.0,2,1,1,0,8,98.0,1.0,1.0,85.00000000000001,1,0.42857142857142855,9
13224,6,1,2,2.0,0,1,1,1,9,93.0,1.0,1.0,88.99999999999999,1,0.1948051948051948,4
13226,6,2,2,1.0,1,1,1,1,20,93.0,1.0,1.0,125.00000000000004,1,0.3376623376623377,7
13227,6,2,4,1.0,1,1,1,0,7,100.0,2.0,2.0,348.99999999999994,1,0.35064935064935066,6
13228,6,1,1,1.0,2,0,1,1,6,97.0,1.0,1.0,197.0,1,0.35064935064935066,6
13229,5,2,4,1.0,1,1,1,0,21,94.0,2.0,2.0,258.99999999999994,1,0.3116883116883117,7
13230,6,1,2,1.0,2,1,1,1,48,94.0,1.0,1.0,55.00000000000002,1,0.2207792207792208,9
13232,6,2,4,1.0,0,1,0,1,10,100.0,2.0,2.0,199.99999999999991,1,0.1948051948051948,8
13234,5,1,2,1.5,2,1,1,0,12,98.0,1.0,1.0,74.99999999999997,1,0.2207792207792208,7
13235,4,1,2,1.0,2,1,1,0,27,97.0,1.0,1.0,85.00000000000001,1,0.18181818181818185,8
13237,6,0,2,1.0,2,1,0,0,6,93.0,1.0,1.0,25.00000000000001,1,0.18181818181818185,2
13238,6,1,1,1.0,1,1,1,0,51,97.0,1.0,1.0,88.99999999999999,1,0.16883116883116886,7
13239,5,1,1,1.0,1,1,1,0,22,98.0,1.0,1.0,125.00000000000004,1,0.3116883116883117,6
13240,6,2,3,1.0,1,1,1,0,50,99.0,1.0,2.0,111.99999999999996,1,0.3116883116883117,5
13241,6,2,3,1.0,2,1,1,0,39,93.0,1.0,1.0,115.0,0,0.23376623376623376,9
13243,5,1,2,1.0,1,0,1,0,9,96.0,1.0,1.0,64.99999999999999,1,0.2597402597402597,5
13245,6,1,2,1.0,0,1,1,0,6,92.0,1.0,1.0,92.99999999999994,1,0.2727272727272727,9
13246,5,1,2,1.0,2,0,1,0,9,98.0,1.0,1.0,88.99999999999999,1,0.14285714285714285,8
13247,6,2,4,1.0,2,1,0,0,70,95.0,1.0,2.0,100.00000000000004,1,0.23376623376623376,2
13248,6,1,2,1.0,0,1,0,0,6,96.0,1.0,1.0,45.00000000000002,1,0.2207792207792208,3
13249,6,2,2,1.0,2,1,1,0,24,90.0,0.0,1.0,99.0,1,0.24675324675324675,5
13250,6,2,4,1.5,2,1,1,0,34,97.0,2.0,2.0,100.00000000000004,1,0.23376623376623376,7
13251,6,1,2,2.0,1,1,1,0,28,93.0,1.0,1.0,69.00000000000001,0,0.2597402597402597,8
13252,2,1,2,1.0,1,1,1,0,50,97.0,1.0,1.0,85.00000000000001,0,0.1948051948051948,8
13253,6,2,4,1.0,2,1,0,0,9,93.0,1.0,2.0,190.0,1,0.2857142857142857,4
13256,5,1,1,1.5,1,1,0,0,3,100.0,1.0,1.0,45.00000000000002,1,0.14285714285714285,8
13258,6,2,4,1.0,1,1,1,0,3,100.0,1.0,2.0,88.99999999999999,1,0.16883116883116886,3
13259,5,1,1,1.0,2,0,1,0,42,95.0,1.0,1.0,70.00000000000003,0,0.11688311688311688,6
13260,6,1,2,1.0,2,1,1,0,64,97.0,1.0,1.0,115.0,1,0.15584415584415584,9
13261,6,2,6,2.0,0,1,0,1,7,100.0,2.0,2.0,175.00000000000009,1,0.24675324675324675,0
13263,6,1,4,1.0,2,1,0,0,5,92.0,1.0,1.0,30.000000000000004,1,0.18181818181818185,2
13264,6,2,4,1.0,0,0,0,1,2,100.0,0.0,2.0,99.0,1,0.15584415584415584,5
13265,6,2,2,1.0,2,0,0,0,13,97.0,1.0,1.0,55.00000000000002,0,0.2987012987012987,9
13270,5,1,1,1.0,0,1,0,0,2,100.0,1.0,1.0,55.00000000000002,1,0.24675324675324675,4
13271,0,2,2,1.0,1,0,1,0,10,100.0,0.0,1.0,110.00000000000004,1,0.2727272727272727,1
13272,6,1,1,1.0,0,1,1,0,9,98.0,1.0,1.0,55.00000000000002,1,0.3116883116883117,9
13273,5,1,2,1.0,0,1,1,0,35,95.0,1.0,1.0,51.0,1,0.2727272727272727,1
13274,6,2,4,1.0,1,1,1,0,21,96.0,2.0,2.0,149.99999999999997,1,0.2727272727272727,6
13276,5,1,1,1.0,2,1,1,0,19,99.0,1.0,1.0,59.99999999999999,1,0.4025974025974026,2
13279,6,1,3,1.0,2,1,1,0,38,93.0,1.0,2.0,99.0,0,0.2077922077922078,7
13280,6,2,2,1.0,2,1,0,0,20,92.0,0.0,1.0,89.99999999999967,1,0.2597402597402597,8
13282,6,2,6,2.5,2,1,1,0,11,96.0,2.0,3.0,295.0000000000001,1,0.2727272727272727,9
13283,5,2,2,1.0,1,0,1,0,45,100.0,0.0,1.0,119.99999999999996,1,0.3246753246753247,1
13284,5,2,2,1.0,0,0,1,1,96,97.0,1.0,1.0,100.00000000000004,1,0.2597402597402597,3
13286,0,2,4,1.0,2,1,1,0,4,100.0,0.0,2.0,89.99999999999967,1,0.12987012987012986,7
13287,3,2,2,1.0,2,1,0,0,14,98.0,0.0,1.0,89.99999999999967,1,0.15584415584415584,7
13288,6,2,4,1.0,2,1,1,0,60,94.0,1.0,2.0,149.0,1,0.2987012987012987,5
13289,1,2,4,1.0,2,1,1,1,99,89.0,0.0,3.0,110.00000000000004,1,0.2207792207792208,7
13290,6,1,1,1.0,1,1,0,0,36,97.0,1.0,1.0,79.0,0,0.15584415584415584,9
13291,6,2,1,1.0,2,1,0,0,7,97.0,0.0,1.0,105.99999999999996,0,0.16883116883116886,4
13292,5,2,2,1.0,1,1,0,0,69,98.0,0.0,1.0,79.99999999999997,1,0.16883116883116886,7
13293,6,0,1,1.0,2,1,1,0,26,95.0,1.0,1.0,46.99999999999995,1,0.2727272727272727,4
13295,6,1,2,1.0,1,1,1,0,36,99.0,1.0,1.0,128.99999999999997,1,0.2727272727272727,6
13298,5,1,2,1.0,2,1,1,0,67,96.0,1.0,1.0,100.00000000000004,1,0.24675324675324675,6
13299,2,1,2,1.0,1,0,1,0,2,100.0,1.0,1.0,74.99999999999997,0,0.24675324675324675,8
13300,5,1,2,1.0,1,1,1,0,49,98.0,1.0,1.0,69.00000000000001,1,0.2727272727272727,7
13302,1,0,1,1.0,2,1,1,0,40,89.0,1.0,1.0,48.99999999999999,0,0.2727272727272727,6
13304,6,1,2,1.0,0,1,1,0,2,100.0,1.0,1.0,45.00000000000002,1,0.16883116883116886,2
13305,6,2,2,1.0,1,1,1,1,48,100.0,1.0,2.0,133.99999999999997,1,0.35064935064935066,5
13307,6,2,4,1.0,0,1,0,1,4,100.0,2.0,2.0,224.9999999999998,1,0.18181818181818185,9
13308,6,2,5,1.0,1,1,1,1,11,95.0,2.0,2.0,104.0,0,0.2077922077922078,4
13309,6,1,2,1.0,1,0,0,1,5,92.0,1.0,1.0,50.000000000000036,0,0.2207792207792208,8
13310,6,2,4,1.0,2,1,1,1,36,92.0,2.0,2.0,125.00000000000004,1,0.2857142857142857,4
13312,0,2,2,1.0,0,0,0,0,12,100.0,1.0,1.0,175.00000000000009,1,0.2207792207792208,7
13313,6,1,2,1.0,0,0,1,0,2,90.0,1.0,1.0,45.00000000000002,1,0.06493506493506493,8
13314,6,2,4,1.0,2,1,1,0,69,99.0,1.0,2.0,128.99999999999997,1,0.2987012987012987,6
13315,6,2,4,1.0,2,1,1,1,11,100.0,0.0,2.0,149.99999999999997,1,0.14285714285714285,8
13316,5,1,2,1.0,1,0,1,1,93,100.0,1.0,1.0,81.00000000000003,1,0.3376623376623377,7
13317,5,1,3,1.0,2,1,1,1,139,90.0,1.0,1.0,39.99999999999998,0,0.1948051948051948,7
13318,5,2,2,1.0,2,1,1,1,108,100.0,0.0,1.0,88.99999999999999,1,0.35064935064935066,1
13319,6,1,1,1.0,2,1,0,0,37,89.0,1.0,1.0,42.00000000000001,1,0.16883116883116886,7
13320,6,1,2,1.0,2,1,0,0,6,97.0,1.0,1.0,50.000000000000036,1,0.2597402597402597,8
13321,6,2,3,1.0,2,1,1,0,3,100.0,1.0,2.0,179.99999999999991,1,0.2597402597402597,4
13322,5,1,2,1.0,0,1,1,0,6,100.0,1.0,1.0,65.99999999999997,1,0.3376623376623377,7
13323,6,2,2,1.0,0,1,1,0,35,91.0,0.0,2.0,164.9999999999998,1,0.09090909090909093,9
13324,5,1,2,1.0,1,1,1,0,19,97.0,1.0,1.0,89.99999999999967,1,0.3116883116883117,7
13325,2,2,3,1.0,1,1,1,0,8,100.0,2.0,2.0,164.9999999999998,1,0.2987012987012987,8
13327,6,1,2,1.0,2,1,0,0,33,98.0,1.0,1.0,69.00000000000001,1,0.4935064935064935,4
13328,6,2,2,1.0,1,1,0,0,7,93.0,1.0,2.0,74.00000000000003,0,0.11688311688311688,2
13329,0,2,2,1.0,2,1,1,1,33,99.0,0.0,2.0,157.00000000000009,1,0.3246753246753247,7
13330,6,2,4,1.0,2,1,1,0,52,98.0,1.0,2.0,139.99999999999994,1,0.18181818181818185,8
13331,6,1,2,1.5,1,0,0,0,3,100.0,2.0,1.0,72.0,1,0.1948051948051948,9
13332,5,1,1,1.0,2,1,0,0,1,100.0,1.0,1.0,199.99999999999991,1,0.2857142857142857,7
13333,5,1,2,0.0,2,1,1,1,118,94.0,1.0,1.0,79.0,1,0.16883116883116886,7
13334,6,1,1,1.0,0,0,1,0,17,95.0,1.0,1.0,28.99999999999999,0,0.14285714285714285,8
13335,6,1,2,1.0,1,0,0,0,3,93.0,1.0,1.0,48.99999999999999,1,0.3376623376623377,8
13336,6,2,6,1.0,2,1,1,1,4,100.0,2.0,3.0,348.99999999999994,1,0.24675324675324675,9
13337,6,1,2,1.0,0,1,0,0,8,97.0,1.0,1.0,88.99999999999999,1,0.2207792207792208,9
13338,5,1,3,1.0,0,1,1,0,6,97.0,1.0,2.0,125.00000000000004,1,0.2987012987012987,0
13339,5,1,2,1.0,0,0,1,0,129,93.0,1.0,1.0,95.0,0,0.18181818181818185,7
13340,5,1,3,1.0,2,1,1,1,37,94.0,1.0,1.0,76.0,1,0.1948051948051948,0
13341,5,2,4,1.0,0,1,1,1,109,98.0,1.0,2.0,119.99999999999996,0,0.3246753246753247,1
13342,6,1,2,1.0,1,1,0,0,1,100.0,1.0,1.0,110.00000000000004,1,0.16883116883116886,8
13343,6,2,2,1.0,0,1,0,1,1,100.0,1.0,1.0,244.00000000000009,1,0.2727272727272727,8
13344,4,1,2,1.0,1,1,1,0,4,100.0,1.0,1.0,119.99999999999996,1,0.24675324675324675,0
13345,6,0,3,1.0,2,1,1,1,7,100.0,1.0,2.0,25.00000000000001,1,0.2987012987012987,9
13346,3,1,4,0.0,2,1,1,0,9,96.0,1.0,2.0,50.000000000000036,1,0.2727272727272727,1
13350,6,2,5,1.0,2,1,1,0,29,98.0,2.0,2.0,119.99999999999996,1,0.3116883116883117,7
13352,6,1,2,1.0,1,0,0,0,8,100.0,1.0,1.0,88.99999999999999,1,0.18181818181818185,9
13353,6,2,4,1.0,2,1,1,0,22,96.0,1.0,3.0,324.99999999999994,1,0.3246753246753247,9
13354,6,2,2,1.0,2,1,1,0,98,97.0,1.0,1.0,224.9999999999998,1,0.2987012987012987,9
13355,5,1,2,1.0,0,1,1,0,10,100.0,1.0,1.0,85.00000000000001,0,0.2077922077922078,3
13357,6,2,2,2.0,1,1,1,0,2,100.0,2.0,1.0,44.00000000000002,1,0.16883116883116886,3
13358,6,2,6,1.0,2,1,1,0,90,88.0,2.0,3.0,179.0,1,0.12987012987012986,8
13359,6,1,2,1.0,2,1,1,0,9,100.0,1.0,1.0,85.00000000000001,0,0.2987012987012987,7
13362,6,2,4,1.0,1,1,1,1,7,100.0,1.0,2.0,95.0,1,0.24675324675324675,7
13363,4,1,4,1.0,1,1,1,0,2,100.0,1.0,1.0,34.00000000000001,0,0.35064935064935066,1
13364,6,2,3,1.0,1,1,1,0,6,96.0,2.0,2.0,525.0000000000003,0,0.2857142857142857,9
13365,5,1,2,1.0,1,1,0,0,19,91.0,1.0,1.0,64.99999999999999,1,0.1038961038961039,1
13368,2,2,6,2.0,1,1,0,1,5,92.0,2.0,3.0,299.0000000000004,1,0.24675324675324675,6
13369,6,2,4,1.0,2,1,1,0,46,97.0,2.0,3.0,324.99999999999994,1,0.18181818181818185,9
13370,6,2,2,1.0,2,1,1,0,21,99.0,0.0,1.0,177.99999999999997,0,0.3246753246753247,9
13371,6,2,2,1.0,1,1,1,0,9,95.0,1.0,1.0,139.99999999999994,1,0.2857142857142857,5
13375,2,2,6,2.5,1,1,1,0,23,95.0,2.0,3.0,349.99999999999983,1,0.3376623376623377,7
13376,6,2,2,1.0,2,1,0,0,3,100.0,1.0,1.0,54.00000000000001,1,0.16883116883116886,7
13378,6,2,2,1.0,0,0,1,0,2,100.0,1.0,1.0,95.0,1,0.24675324675324675,5
13379,2,1,2,1.5,2,1,1,1,4,95.0,1.0,1.0,129.99999999999997,1,0.14285714285714285,2
13381,4,1,2,1.0,1,1,1,0,76,97.0,1.0,1.0,74.99999999999997,1,0.24675324675324675,6
13382,6,2,5,2.0,2,1,1,1,13,89.0,2.0,3.0,199.99999999999991,0,0.2597402597402597,7
13383,6,1,2,1.0,2,1,0,0,25,99.0,1.0,1.0,74.99999999999997,1,0.2727272727272727,9
13384,6,2,3,1.0,1,1,1,0,1,100.0,0.0,2.0,220.00000000000043,0,0.1948051948051948,9
13385,5,1,1,1.0,0,1,0,0,1,100.0,1.0,1.0,38.99999999999999,1,0.12987012987012986,0
13386,6,1,2,1.0,2,1,1,0,83,97.0,1.0,1.0,88.99999999999999,1,0.35064935064935066,7
13387,6,2,2,1.0,1,1,0,0,20,91.0,1.0,1.0,125.00000000000004,1,0.2077922077922078,4
13388,6,2,4,1.0,1,1,1,0,2,100.0,2.0,2.0,300.00000000000017,1,0.3116883116883117,6
13389,3,2,2,1.0,2,1,1,0,46,95.0,1.0,1.0,144.99999999999997,0,0.2597402597402597,7
13390,6,1,3,1.0,2,1,0,0,61,94.0,1.0,1.0,64.99999999999999,0,0.2857142857142857,3
13392,2,2,4,1.0,1,1,1,0,2,90.0,2.0,2.0,220.00000000000043,1,0.2597402597402597,5
13393,6,1,2,1.0,2,0,0,0,41,95.0,1.0,1.0,50.000000000000036,1,0.16883116883116886,9
13394,5,1,2,1.0,2,1,1,0,1,100.0,1.0,1.0,74.99999999999997,1,0.1948051948051948,7
13396,6,2,5,2.0,2,1,1,1,46,96.0,2.0,3.0,199.99999999999991,1,0.3376623376623377,7
13398,6,2,2,1.0,2,1,1,0,4,95.0,0.0,1.0,119.99999999999996,1,0.24675324675324675,9
13399,6,1,2,1.0,1,1,0,1,3,100.0,1.0,1.0,59.99999999999999,1,0.2597402597402597,9
13400,6,2,2,1.0,2,1,1,1,6,100.0,1.0,1.0,324.99999999999994,1,0.24675324675324675,9
13401,4,2,2,1.0,1,1,1,0,12,97.0,1.0,1.0,79.0,1,0.23376623376623376,7
13402,6,2,2,1.0,0,1,0,0,100,90.0,0.0,1.0,99.0,1,0.24675324675324675,7
13403,5,1,2,1.0,2,1,0,1,19,95.0,1.0,1.0,45.00000000000002,1,0.1038961038961039,1
13404,6,1,2,1.0,1,1,0,0,18,97.0,1.0,1.0,129.99999999999997,1,0.11688311688311688,7
13405,6,1,1,1.0,1,1,1,1,5,100.0,1.0,1.0,70.00000000000003,1,0.2727272727272727,7
13406,6,2,3,1.0,0,1,1,1,8,97.0,1.0,2.0,119.99999999999996,1,0.23376623376623376,7
13407,6,2,2,1.0,2,1,1,0,13,98.0,1.0,1.0,198.0,1,0.3376623376623377,8
13408,6,2,2,1.0,2,1,1,0,33,94.0,1.0,1.0,135.00000000000003,0,0.2987012987012987,7
13410,6,2,4,1.0,2,1,1,0,27,89.0,1.0,2.0,111.99999999999996,0,0.2857142857142857,7
13412,6,2,4,1.0,0,1,0,0,57,92.0,1.0,2.0,149.0,1,0.15584415584415584,8
13413,6,1,2,1.0,2,0,1,0,17,98.0,1.0,1.0,72.0,1,0.42857142857142855,9
13416,5,1,2,1.0,0,0,0,0,3,100.0,1.0,2.0,59.99999999999999,1,0.2987012987012987,3
13417,6,1,1,1.0,0,0,0,0,1,100.0,1.0,1.0,59.99999999999999,1,0.09090909090909093,8
13419,5,1,2,1.0,2,1,1,0,7,100.0,1.0,1.0,74.99999999999997,0,0.3116883116883117,8
13420,4,2,2,1.0,2,1,0,0,1,100.0,1.0,1.0,139.99999999999994,0,0.1948051948051948,4
